State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Amthua, 3747500, 25.168627, 85.080928, Amthua, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Pinjora, 3748700, 25.163911, 85.020015, Pinjora, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Barhauna, 3749300, 25.14982, 85.052122, Barhauna, 21, 
BIHAR, 10, JEHANABAD, 235, GHOSHI, 1780, Shahpur, 3755400, 25.210918, 85.124987, Shahpur, 21, 
BIHAR, 10, JEHANABAD, 235, GHOSHI, 1780, Bharathu, 3756100, 25.184182, 85.135485, Bharathu, 21, 
BIHAR, 10, JEHANABAD, 235, GHOSHI, 1780, Ghoshi, 3756900, 25.167914, 85.106785, Ghoshi, 21, 
BIHAR, 10, JEHANABAD, 235, GHOSHI, 1780, Ahiasha, 3757800, 25.20384, 85.091118, Ahiasha, 21, 
BIHAR, 10, JEHANABAD, 235, GHOSHI, 1780, Golakpur, 3758200, 25.179842, 85.09368, Golakpur, 21, 
BIHAR, 10, JEHANABAD, 235, GHOSHI, 1780, Lakhawar, 3758300, 25.134094, 85.090172, Lakhawar, 21, 
BIHAR, 10, JEHANABAD, 235, GHOSHI, 1780, Uber, 3758500, 25.092968, 85.074804, Uber, 21, 
BIHAR, 10, JEHANABAD, 235, GHOSHI, 1780, Shaho Bigha, 3759400, 25.116071, 85.106978, Shaho Bigha, 21, 
BIHAR, 10, JEHANABAD, 235, GHOSHI, 1780, Kure, 3759500, 25.096718, 85.097091, Kure, 21, 
BIHAR, 10, JEHANABAD, 235, GHOSHI, 1780, Parawan, 3760000, 25.050695, 85.088366, Parawan, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Majhos, 3761500, 25.063235, 84.909923, Majhos, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Makarpur, 3764000, 25.032439, 84.987776, Makarpur, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Chhariyari, 3765300, 25.062737, 85.03021, Chhariyari, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Kachnanwan, 3765700, 25.083895, 84.939432, Kachnanwan, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Kumardih, 3767100, 25.106775, 84.95318, Kumardih, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Kohara, 3767200, 25.130357, 84.977196, Kohara, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Suganwan, 3767400, 25.115822, 85.002449, Suganwan, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, E. Saren, 3767500, 25.105024, 84.984329, E. Saren, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, W. Saren, 3767500, 25.105024, 84.984329, W. Saren, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Kalanaur, 3768200, 25.095265, 85.011284, Kalanaur, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Punahba, 3769300, 25.120162, 84.922955, Punahba, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Malathi, 3770100, 25.11826, 85.039743, Malathi, 21, 
