State_Name,State Cde,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kunt,8581,31.669778,75.787639,Kunt,2,687
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kutabpur,8585,31.650111,75.801111,Kutabpur,2,571
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,lalowal,8586,31.669801,75.725056,Lalowal,2,352
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,lalpur,8587,31.676556,75.847611,Lalpur,2,506
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,lehal,8588,31.638694,75.805028,Lehal,2,517
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,lit,8589,31.806139,75.767333,Lit,2,640
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,lud,8590,31.616304,75.764556,Lud,2,565
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,machhian,8591,31.715667,75.778417,Machhian,2,520
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,mahangrowal,8600,31.650722,75.941139,Mahangrowal,2,1237
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,maker sali,8592,31.643194,75.866611,Maker sali,2,1454
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,malewal,8594,31.755444,75.783528,Malewal,2,627
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,malot,8595,31.671667,75.944366,Malot,2,413
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,manga,8596,31.771556,75.741028,Manga,2,763
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,mangarh,8597,31.766528,75.721833,Mangarh,2,653
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,manhota,8598,31.773083,75.858472,Manhota,2,523
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,mastiwal,8599,31.752251,75.801806,Mastiwal,2,940
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,mirzapur(17),8601,31.754611,75.776417,Mirzapur(17),2,2652
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,mirzapur(59),250188,31.652472,75.724361,Mirzapur(59),2,2400
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,mohalla ranjit garh(470),250192,31.749278,75.836611,Mohalla Ranjit Garh(470),2,1104
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,mohalla tahli wala(478),250192,31.700944,75.866139,Mohalla Tahli wala(478),2,1104
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,mukeempur,8593,31.644184,75.801222,Mukeempur,2,379
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,musa,8603,31.727305,75.787988,Musa,2,322
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,mustapur,8604,31.621028,75.932361,Mustapur,2,724
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,nangal ghorewaha,8606,31.727639,75.796917,Nangal Ghorewaha,2,517
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,nangal ishar,8607,31.644556,75.787431,Nangal Ishar,2,865
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,nangal kanogo,8608,31.639293,75.820336,Nangal Kanogo,2,365
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,nangal pind,8609,31.663139,75.874752,Nangal Pind,2,71
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,nangal thathal,8610,31.725944,75.797639,Nangal Thathal,2,577
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,nangal(mallian),8605,31.701753,75.722389,Nangal(Mallian),2,998
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,narur,8611,31.792583,75.846667,Narur,2,705
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,naushehra,8615,31.662333,75.8365,Naushehra,2,623
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,nikkiwal,8613,31.641306,75.809528,Nikkiwal,2,402
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,nila naloya,8614,31.667861,75.869278,Nila Naloya,2,1029
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,nurpur,8616,31.660444,75.779306,Nurpur,2,945
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,pakhowal,8617,31.709337,75.787408,Pakhowal,2,1105
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,pandori atwal,8618,31.734167,75.792306,Pandori Atwal,2,1817
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,pandori malian,8619,31.696778,75.721028,Pandori Malian,2,530
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,pandori sumlan,8620,31.699028,75.795751,Pandori sumlan,2,124
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,patial,8621,31.716981,75.949972,Patial,2,584
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,patiari,8622,31.670694,75.899389,Patiari,2,558
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,phambra,8623,31.681917,75.818333,Phambra,2,739
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,phaphial,8624,31.724306,75.882889,Phaphial,2,259
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,raghowal,8625,31.757667,75.855861,Raghowal,2,541
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,raja kalan,8626,31.749528,75.705972,Raja kalan,2,126
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,rajpur,8627,31.780417,75.756694,Rajpur,2,609
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,ramdasspur,8628,31.720778,75.718556,Ramdasspur,2,926
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,ramtatwali,8629,31.743911,75.862452,Ramtatwali,2,1460
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,rana,8630,31.734172,75.772021,Rana,2,531
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,rauwal,8631,31.629667,75.779889,Rauwal,2,352
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,rehmanpur,8632,31.660756,75.912094,Rehmanpur,2,1254
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,roopowal,8634,31.720306,75.715083,Roopowal,2,1002
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,roran,8633,31.694944,75.825639,Roran,2,912
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,sakrala,8635,31.684167,75.708806,Sakrala,2,767
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,sandhar,8636,31.636278,75.73825,Sandhar,2,861
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,sarhala,8638,31.731735,75.756794,Sarhala,2,920
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,sarian,8637,31.674139,75.741056,Sarian,2,350
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,shahbudin,8639,31.641806,75.777389,Shahbudin,2,724
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,shahpur(491),250191,31.622111,75.943278,Shahpur(491),2,145
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,shehjowal,8640,31.723988,75.787222,Shehjowal,2,476
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,shekhan(411),250191,31.749333,75.815472,Shekhan(411),2,1239
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,sherpur pukhta,8641,31.617861,75.786222,Sherpur Pukhta,2,1221
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,shin chathial,8642,31.789944,75.763639,Shin Chathial,2,726
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,sotla,8644,31.677278,75.763944,Sotla,2,1071
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,taggar,8645,31.635571,75.757524,Taggar,2,369
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,taintpal,8646,31.718806,75.812583,Taintpal,2,617
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,tajpur kalan,8647,31.627306,75.811806,Tajpur Kalan,2,545
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,takhni,8648,31.652361,75.919722,Takhni,2,643
