State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, POR, 159161, 23.16652, 72.61181, POR, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, KOTESHWAR, 159146, 23.09703, 72.61341, KOTESHWAR, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, INDRAPURA, 242738, 23.415848, 72.614464, INDRAPURA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, SARGASAN, 159174, 23.18517, 72.61631, SARGASAN, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, CHANDISANA, 159205, 23.351761, 72.616599, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, NADRI, 159230, 23.354925, 72.616818, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, AMIYAPUR, 159123, 23.124858, 72.61879, AMIYAPUR, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, SOLAIYA, 253014, 23.453433, 72.62043, SOLAIYA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, SOBHASAN, 159250, 23.382156, 72.620684, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, AMAJA, 159196, 23.353597, 72.620928, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, VAVOL, 159190, 23.22489, 72.62127, VAVOL, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, PADUSMA, 253007, 23.488724, 72.622271, PADUSMA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, KUDASAN, 159147, 23.17088, 72.62328, KUDASAN, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, PARBATPURA, 253009, 23.401666, 72.623627, PARBATPURA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, GULABPURA, 242734, 23.429794, 72.62433, GULABPURA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, SUGAD, 159180, 23.12377, 72.62569, SUGAD, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, HIMMATPURA (B), 242745, 23.514804, 72.625996, HIMMATPURA (B), 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, RAMPURA, 242737, 23.416228, 72.630964, RAMPURA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, VASAN, 159188, 23.31922, 72.63177, VASAN, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, BHIMPURA, 242739, 23.392714, 72.632923, BHIMPURA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, UMIYANAGAR (B), 242746, 23.530614, 72.633255, UMIYANAGAR (B), 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, ITLA, 159218, 23.371685, 72.633928, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, BHAT, 159124, 23.10395, 72.63555, BHAT, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, FATEHPURA, 242735, 23.432162, 72.63694, FATEHPURA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, MANDALI, 253004, 23.547451, 72.63734, MANDALI, 21, 
