State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,throughput
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, ANARAD, 184239, 21.468889, 74.497778, ANARAD, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, ASOLOD, 184240, 21.579444, 74.600556, ASOLOD, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, AURANGPUR, 184241, 21.627222, 74.4225, AURANGPUR, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BAHIRPUR, 184242, 21.677778, 74.548333, BAHIRPUR, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BAMKHEDA, 184243, 21.443333, 74.628056, BAMKHEDA, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BAMKHEDA TS, 184244, 21.438056, 74.474167, BAMKHEDA TS, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BHADE, 184245, 21.553333, 74.431667, BHADE, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BHAGAPUR, 184246, 21.6075, 74.542778, BHAGAPUR, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BHONGARA, 184247, 21.580556, 74.646111, BHONGARA, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BHORTEK, 184248, 21.631944, 74.608333, BHORTEK, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BHULANE, 184249, 21.556667, 74.675278, BHULANE, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BILADI TH, 184250, 21.670278, 74.556944, BILADI TH, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BILADI TS, 184251, 21.440278, 74.470556, BILADI TS, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BORADE, 184252, 21.480278, 74.595556, BORADE, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BRAHAMANPURI, 184253, 21.620556, 74.519722, BRAHAMANPURI, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BUDIGAVON, 184254, 21.627222, 74.461667, BUDIGAVON, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, BUPAKARI, 184255, 21.518056, 74.402778, BUPAKARI, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, CHANDSALI, 184256, 21.580556, 74.646111, CHANDSALI, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, CHIKHALI BK, 184257, 21.641667, 74.438611, CHIKHALI BK, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, CHIRDE, 184258, 21.726389, 74.477222, CHIRDE, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, CHIRKHAN, 184259, 21.544167, 74.606111, CHIRKHAN, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, DAMRKHEDA, 184261, 21.516667, 74.398889, DAMRKHEDA, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, DANDHARE BH, 184263, 21.509167, 74.601944, DANDHARE BH, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, DEUR, 184262, 21.4325, 74.586667, DEUR, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, DHURKHEDA, 184264, 21.535278, 74.417778, DHURKHEDA, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, DOGARGOAN, 184266, 21.557778, 74.523889, DOGARGOAN, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, DOMODE, 184260, 21.624444, 74.593611, DOMODE, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, DONDWADA, 184265, 21.4075, 74.648056, DONDWADA, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, DUADKHEDA, 184267, 21.563056, 74.629167, DUADKHEDA, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, FATTEPUR, 184268, 21.663889, 74.456111, FATTEPUR, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, FES, 184269, 21.405, 74.638056, FES, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, GODIPUR, 184271, 21.618889, 74.511389, GODIPUR, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, GOGAPUR, 184272, 21.611111, 74.570833, GOGAPUR, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, GONAR, 184270, 21.695556, 74.533611, GONAR, 1,2,
