State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,
BIHAR,10,LAKHISARAI,227,BARAHIYA,1828,BLOCK BARAHIYA,88888,25.28075,86.017549,BLOCK BARAHIYA,1,
BIHAR,10,LAKHISARAI,227,CHANNAN,1829,BLOCK CHANAN,88888,25.078751,86.163649,BLOCK CHANAN,1,
BIHAR,10,LAKHISARAI,227,HALSI,1830,BLOCK HALSI,88888,25.026853,86.050433,BLOCK HALSI,1,
BIHAR,10,LAKHISARAI,227,LAKHISARAI,1831,BLOCK LKR,88888,25.185652,86.101556,BLOCK LKR,1,
BIHAR,10,LAKHISARAI,227,PIPARIYA,1832,BLOCK PIPERIYA,88888,25.24384,86.145652,BLOCK PIPERIYA,1,
BIHAR,10,LAKHISARAI,227,PIPARIYA,1832,PIPERIYA,88888,25.2614,86.11041,PIPERIYA,1,
BIHAR,10,LAKHISARAI,227,RAMGARH CHOWK,1833,RMG BLOCK,88888,25.097607,86.075321,RMG BLOCK,1,
BIHAR,10,LAKHISARAI,227,SURAJGARHA,1834,SURYAPURA,88888,25.253241,86.224421,SURYAPURA,1,
BIHAR,10,MADHEPURA,213,KUMARKHAND,1841,Kumarkhand Block,88888,25.995028,86.992444,Kumarkhand Block,1,
BIHAR,10,MADHEPURA,213,UDA KISHANGANJ,1847,Mkhara,88888,25.651389,86.831667,Mkhara,1,
BIHAR,10,MADHUBANI,207,BASOPATTI,1850,BASOPATTI BLOCK,88888,26.56346,86.001,BASOPATTI BLOCK,1,
BIHAR,10,MADHUBANI,207,JAINAGAR,1855,BARAHI,88888,26.56472,86.09757,BARAHI,1,
BIHAR,10,MADHUBANI,207,JAINAGAR,1855,BLOCK H.Q.,88888,26.59579,86.1357,BLOCK H.Q.,1,
BIHAR,10,MADHUBANI,207,KHAJAULI,1858,Khajauli Block,88888,26.47985,86.1527,Khajauli Block,1,
BIHAR,10,MADHUBANI,207,LADANIA,1859,LADANIA BLOCK,88888,26.61395,86.31754,LADANIA BLOCK,1,
BIHAR,10,MUZAFFARPUR,216,AURAI,1878,AURAI BLOCK,88888,26.31194,85.56236,AURAI BLOCK,1,
BIHAR,10,MUZAFFARPUR,216,MOTIPUR,1887,Block,88888,26.309067,85.16725,Block,1,
BIHAR,10,MUZAFFARPUR,216,MURAUL,1888,Block,88888,26.011133,85.580667,Block,1,
BIHAR,10,MUZAFFARPUR,216,PAROO,1890,Block,88888,26.16825,84.936134,Block,1,
BIHAR,10,MUZAFFARPUR,216,SAHEBGANJ,1891,Block,88888,26.299222,84.933833,Block,1,
BIHAR,10,NALANDA,229,ASTHAWAN,1894,ASTHAWAN BLOCK,88888,25.216437,85.629281,ASTHAWAN BLOCK,1,
BIHAR,10,NALANDA,229,BIHARSHARIF,1896,Block,88888,25.204557,85.515463,Block,1,
BIHAR,10,NALANDA,229,CHANDI,1898,Block,88888,25.32232,85.408029,Block,1,
BIHAR,10,NALANDA,229,EKANGARSARAI,1899,Block,88888,25.228938,85.232072,Block,1,
BIHAR,10,NALANDA,229,GIRIAK,1900,Block,88888,25.030727,85.532629,Block,1,
BIHAR,10,NALANDA,229,ISLAMPUR,1903,ISLAMPUR BLOCK,88888,25.147134,85.201669,ISLAMPUR BLOCK,1,
BIHAR,10,NALANDA,229,PARBALPUR,1908,Block,88888,25.211838,85.3634,Block,1,
BIHAR,10,NAWADA,239,AKBARPUR,1914,Akbarpur Block,88888,24.750417,85.557511,Akbarpur Block,1,
BIHAR,10,PATNA,230,ATHAMALGOLA,1946,Athmalgola Block,88888,25.461177,85.605048,Athmalgola Block,1,
BIHAR,10,PATNA,230,BAKHTIARPUR,1947,Baktiyarpur Block,88888,25.461507,85.530094,Baktiyarpur Block,1,
BIHAR,10,PATNA,230,BARH,1948,Block,88888,25.465452,85.694052,Block,1,
BIHAR,10,PATNA,230,BIKRAM,1951,Bikram Block,88888,25.446608,84.860278,Bikram Block,1,
BIHAR,10,PATNA,230,DHANARUA,1953,Dhanarua Block,88888,25.363058,85.133005,Dhanarua Block,1,
BIHAR,10,PATNA,230,DINAPUR,1954,Block,88888,25.643278,85.062014,Block,1,
BIHAR,10,PATNA,230,DULHIN BAZAR,1955,Dulhin Bazar Block,88888,25.388104,84.859083,Dulhin Bazar Block,1,
BIHAR,10,PATNA,230,FATUHA,1956,Fatuha Block,88888,25.5082,85.301321,Fatuha Block,1,
BIHAR,10,PATNA,230,MASAURHI,1960,MASAURI BLOCK,88888,25.366752,85.042634,MASAURI BLOCK,1,
BIHAR,10,PATNA,230,MOKAMA,1961,Mokama Block,88888,25.403875,85.905569,Mokama Block,1,
BIHAR,10,PATNA,230,NAUBATPUR,1962,Naubatpur Block,88888,25.478706,84.959194,Naubatpur Block,1,
BIHAR,10,PATNA,230,PATNA SADAR,1965,Block,88888,25.619454,85.142547,Block,1,
BIHAR,10,PATNA,230,PHULWARI,1966,Block,88888,25.580709,85.076758,Block,1,
