State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phas
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Samlah,245869,32.584972,75.144972,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Sodam,245873,32.581333,75.305917,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,PURMANDAL,62,Vijaypur,245837,32.571583,74.999861,P/G,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,M Thalora,245863,32.564111,75.132028,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Badheri,245845,32.559278,75.0785,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,M Pushwalian,245862,32.558778,75.134806,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Mandi Kehli,245861,32.55725,75.119694,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Supwal,245852,32.552944,75.064086,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Chajjwal,245850,32.550809,75.049778,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Kattli,245860,32.540528,75.136472,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Diani,245853,32.539917,75.157278,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Harminder,245858,32.531001,75.051694,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Ram Nagar,245866,32.513917,75.100833,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Rehian,245867,32.510306,75.122611,p/g u/c,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Pangdhour,245865,32.503278,75.081639,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Glard,245856,32.494028,75.067664,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Sadah,245868,32.491472,75.107944,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Dagore,245851,32.058528,75.064111,p/g ,2
