State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,population
MAHARASHTRA,27, THANE,517, KALYAN,4593,palsoli,194407,19.36285,73.27708, Palsoli GP,2,771
MAHARASHTRA,27, THANE,517, KALYAN,4593,pisvali,194408,19.21587,73.12248, Pisvali GP,2,1947
MAHARASHTRA,27, THANE,517, KALYAN,4593,poi,241511,19.22457,73.27625, Poi GP,2,869
MAHARASHTRA,27, THANE,517, KALYAN,4593,rayate,194410,19.25407,73.22591, Rayate GP,2,269
MAHARASHTRA,27, THANE,517, KALYAN,4593,raye,194409,19.33422,73.20719, Raye GP,2,2187
MAHARASHTRA,27, THANE,517, KALYAN,4593,rohan,241515,19.2406,73.26743, Rohan GP,2,214
MAHARASHTRA,27, THANE,517, KALYAN,4593,runde,194411,19.30638,73.24295, Runde GP,2,874
MAHARASHTRA,27, THANE,517, KALYAN,4593,sagaon,194412,19.20108,73.09597, Sagaon GP,2,416
MAHARASHTRA,27, THANE,517, KALYAN,4593,sandap,194413,19.1863,73.08334, Sandap GP,2,1066
MAHARASHTRA,27, THANE,517, KALYAN,4593,sangode,194414,19.30563,73.19028, Sangode GP,2,1084
MAHARASHTRA,27, THANE,517, KALYAN,4593,sonarpada,194416,19.19381,73.10474, Sonarpada GP,2,712
MAHARASHTRA,27, THANE,517, KALYAN,4593,usarghar,194417,19.18107,73.07076, Usarghar GP,2,2997
MAHARASHTRA,27, THANE,517, KALYAN,4593,ushid,194418,19.33787,73.2809, Ushid GP,2,837
MAHARASHTRA,27, THANE,517, KALYAN,4593,utane,194419,19.32158,73.23029, Utane GP,2,946
MAHARASHTRA,27, THANE,517, KALYAN,4593,vaholi,194420,19.23988,73.24183, Vaholi GP,2,1291
MAHARASHTRA,27, THANE,517, KALYAN,4593,varap,194421,19.25043,73.18475, Varap-gp,2,5287
MAHARASHTRA,27, THANE,517, KALYAN,4593,vasat shelvali,194422,19.21127,73.23617, Vasat Shelvali GP,2,1641
MAHARASHTRA,27, THANE,517, KALYAN,4593,vasundri,194423,19.30918,73.19269, Vasundri GP,2,1164
MAHARASHTRA,27, THANE,517, KALYAN,4593,vehele,194424,19.37457,73.28471, Vehele GP,2,3237
MAHARASHTRA,27, THANE,517, PALGHAR,4596,aagarwadi,194580,19.58549,72.77227, AAGARWADI,2,1414
MAHARASHTRA,27, THANE,517, PALGHAR,4596,aalewadi,194582,19.77182,72.69019, AALEWADI,2,3409
MAHARASHTRA,27, THANE,517, PALGHAR,4596,aavdhani,194585,19.7569,72.91599, AAVDHANI,2,1744
MAHARASHTRA,27, THANE,517, PALGHAR,4596,akkarpatt,194581,19.85219,72.72678, AKKARPATT,2,478
MAHARASHTRA,27, THANE,517, PALGHAR,4596,barhanpur,194587,19.85074,72.9381, BARHANPUR,2,802
MAHARASHTRA,27, THANE,517, PALGHAR,4596,betegaon,194588,19.77756,72.77016, BETEGAON,2,2832
MAHARASHTRA,27, THANE,517, PALGHAR,4596,bhadve,194589,19.56121,72.74229, BHADVE,2,634
MAHARASHTRA,27, THANE,517, PALGHAR,4596,bhahadoli,194586,19.66449,72.87499, BHAHADLOLI,2,1573
MAHARASHTRA,27, THANE,517, PALGHAR,4596,birwadi,194590,19.75627,72.76115, BIRWADI,2,1217
MAHARASHTRA,27, THANE,517, PALGHAR,4596,boisar,194591,19.79779,72.76167, BOISAR,2,8942
MAHARASHTRA,27, THANE,517, PALGHAR,4596,borsheti,194592,19.81967,72.8494, BORSHETI,2,737
MAHARASHTRA,27, THANE,517, PALGHAR,4596,chahade,194593,19.68704,72.85149, CHAHADE,2,2293
MAHARASHTRA,27, THANE,517, PALGHAR,4596,chatale,194594,19.56763,72.75951, CHATALE,2,1090
MAHARASHTRA,27, THANE,517, PALGHAR,4596,chinchare,194595,19.84905,72.85346, CHINCHARE,2,784
MAHARASHTRA,27, THANE,517, PALGHAR,4596,dahisar t manor,194596,19.64088,72.88835, DAHISAR T,2,850
MAHARASHTRA,27, THANE,517, PALGHAR,4596,dahisar tarfe tarapur,194597,19.84554,72.72756, DAHISAR,2,956
MAHARASHTRA,27, THANE,517, PALGHAR,4596,danda khatali,194598,19.5958,72.73588, DANDA KATELE,2,682
MAHARASHTRA,27, THANE,517, PALGHAR,4596,dandi,194599,19.80105,72.68719, DANDI,2,6540
MAHARASHTRA,27, THANE,517, PALGHAR,4596,dapoli,194600,19.74457,72.73907, DAPOLI,2,628
MAHARASHTRA,27, THANE,517, PALGHAR,4596,darshet,194601,19.54498,72.90059, DARSHET,2,503
MAHARASHTRA,27, THANE,517, PALGHAR,4596,datiware,194602,19.50986,72.7723, DATIWARE,2,490
MAHARASHTRA,27, THANE,517, PALGHAR,4596,delwadi,241495,19.83728,72.71049, DELWADI,2,987
MAHARASHTRA,27, THANE,517, PALGHAR,4596,dhansar,194603,19.70041,72.73566, DHANSAR,2,1787
MAHARASHTRA,27, THANE,517, PALGHAR,4596,dhuktan,194605,19.68266,72.87029, DHUKTAN,2,2850
MAHARASHTRA,27, THANE,517, PALGHAR,4596,dongre,194606,19.53844,72.7464, DONGRE,2,787
MAHARASHTRA,27, THANE,517, PALGHAR,4596,durves,194607,19.72607,72.92328, DURVES,2,342
MAHARASHTRA,27, THANE,517, PALGHAR,4596,edvan,194608,19.54073,72.72911, EDVAN,2,3188
MAHARASHTRA,27, THANE,517, PALGHAR,4596,ganje dhekale,194604,19.61557,72.91819, GANJE DHEKALE,2,1975
MAHARASHTRA,27, THANE,517, PALGHAR,4596,ghivali,194613,19.84515,72.66622, GHIVALI,2,2396
MAHARASHTRA,27, THANE,517, PALGHAR,4596,girale,194614,19.60733,72.87697, GIRALE,2,950
MAHARASHTRA,27, THANE,517, PALGHAR,4596,girnoli,194615,19.84192,72.73572, GIRNOLI,2,1626
MAHARASHTRA,27, THANE,517, PALGHAR,4596,gowade,194616,19.70201,72.87804, GOWADE,2,1042
MAHARASHTRA,27, THANE,517, PALGHAR,4596,gundale,194617,19.78229,72.82732, GUNDALE,2,271
MAHARASHTRA,27, THANE,517, PALGHAR,4596,haloli,194618,19.66744,72.90277, HALOLI,2,1220
MAHARASHTRA,27, THANE,517, PALGHAR,4596,hanuman nagar,194619,19.75043,72.77914, HANUMAN NAGAR,2,1691
MAHARASHTRA,27, THANE,517, PALGHAR,4596,jalsar,194621,19.52935,72.80386, JALSAR,2,0
MAHARASHTRA,27, THANE,517, PALGHAR,4596,jayshet,194620,19.58655,72.9613, JAYSHET,2,820
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kamare,194622,19.67776,72.78936, KAMARE,2,235
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kandrebhure,194623,19.53744,72.83455, KANDREBHURE,2,1077
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kapase,194624,19.58302,72.80926, KAPASE,2,1689
MAHARASHTRA,27, THANE,517, PALGHAR,4596,karalgaon,194625,19.71225,72.95515, KARALGAON,2,1220
