State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,ARARIA,209,PALASI,1630,ramnagar,91247,26.17845,87.61595,RAMNAGAR,21,,1563
BIHAR,10,ARARIA,209,PALASI,1630,sohan dar,91248,26.197533,87.679933,SOHAN DAR,21,,2054
BIHAR,10,ARARIA,209,PALASI,1630,sukhsaina,91249,26.1712,87.57445,SUKHSAINA,21,,913
BIHAR,10,ARARIA,209,FORBESGANJ,1626,ramai,255580,26.27085,87.355117,RAMAI,21,,5930
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,achara,91200,26.398400,87.096117,Panchayat,2,,2538
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,amgachhi,91282,26.409967,87.471100,Amgachhi,2,,899
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,babuan,91201,26.480867,87.074250,SamudaikBldg,2,,4554
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,badahara,91202,26.314600,87.103217,Panchayat,2,,6428
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,badhepara,91203,26.328000,87.187200,Panchayat,2,,6428
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,bagadehra,91160,26.130633,87.579633,panchayat,2,,1706
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,bagnagar,91161,26.025633,87.530050,panchayat,2,,1675
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,bara istambarar,91162,26.120550,87.684033,panchayat,2,,1093
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,barbanna,91251,26.080717,87.232650,Panchayat,2,,5001
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,bardaha,91283,26.339617,87.516817,Bardaha,2,,1266
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,basmatiya,91204,26.526083,87.068350,Panchayat,2,,10756
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,beer nagar east,91108,25.971983,87.117950,panchayat,2,,1259
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,bela,91205,26.562250,87.061783,SamudaikBldg,2,,7481
