State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,PASHCHIM CHAMPARAN,203,BETTIAH,1931,gonauli,95984,26.804333,84.559444,GONAULI,21,,587
BIHAR,10,PASHCHIM CHAMPARAN,203,BETTIAH,1931,pipra pakari,95985,26.790855,84.590202,PIPRA PAKARI,21,,12699
BIHAR,10,PASHCHIM CHAMPARAN,203,BETTIAH,1931,purvi kargahia,95986,26.780611,84.552944,PURVI KARGAHIA,21,,9995
BIHAR,10,PASHCHIM CHAMPARAN,203,BHITAHA,1932,bhuidharwa,95987,26.866333,84.189528,BHUIDHARWA,21,,49
BIHAR,10,PASHCHIM CHAMPARAN,203,BHITAHA,1932,chilwania,95988,26.913861,84.173694,CHILWANIA,21,,5165
BIHAR,10,PASHCHIM CHAMPARAN,203,BHITAHA,1932,dihi pakri,95989,26.854722,84.155806,DIHI PAKRI,21,,8309
BIHAR,10,PASHCHIM CHAMPARAN,203,BHITAHA,1932,hathuahwa,95990,26.896502,84.154111,HATHUAHWA,21,,1605
BIHAR,10,PASHCHIM CHAMPARAN,203,BHITAHA,1932,khairawa,95991,26.910583,84.109806,KHAIRAWA,21,,22864
BIHAR,10,PASHCHIM CHAMPARAN,203,BHITAHA,1932,machha,95992,26.889167,84.193025,MACHHA,21,,7967
BIHAR,10,PASHCHIM CHAMPARAN,203,BHITAHA,1932,persawna,95994,26.946251,84.163083,PERSAWNA,21,,1799
BIHAR,10,PASHCHIM CHAMPARAN,203,BHITAHA,1932,semarbari,95995,26.920083,84.147278,SEMARBARI,21,,1500
BIHAR,10,PASHCHIM CHAMPARAN,203,CHANPATIA,1933,auraiya,95996,26.843139,84.533056,AURAIYA,21,,6037
BIHAR,10,PASHCHIM CHAMPARAN,203,CHANPATIA,1933,bakulahar,95997,26.933003,84.585333,BAKULAHAR,21,,7494
BIHAR,10,PASHCHIM CHAMPARAN,203,CHANPATIA,1933,bankat puraina,95998,26.947222,84.512972,BANKAT PURAINA,21,,3413
BIHAR,10,PASHCHIM CHAMPARAN,203,CHANPATIA,1933,bettiah dih,95999,26.838063,84.514859,BETTIAH DIH,21,,12573
BIHAR,10,PASHCHIM CHAMPARAN,203,CHANPATIA,1933,bhaisahi pokharia,96000,26.936889,84.499222,BHAISAHI POKHARIA,21,,6256
