1137,"[(19.7281525, 77.187733929999993), 38.752000000000002, {33: [-59.50297066981949, -19.49702933018051], 12: [-59.46356151835178, -19.53643848164822], 13: [-58.092177835469485, -20.907822164530515], 17: [-47.364891015161376, -31.635108984838624], 18: [-45.70726058502571, -33.29273941497429], 20: [-58.75224030822078, -20.247759691779223], 24: [-53.04181108426346, -25.958188915736542], 28: [-58.66017158362125, -20.33982841637875]}]"
1138,"[(19.728160509999999, 77.258941910000004), 20.288, {16: [-52.54691069591783, -27.45308930408217], 19: [-53.99275106166334, -26.00724893833666], 20: [-57.50745512427247, -22.492544875727532]}]"
1139,"[(19.729443459999999, 77.119146839999999), 9.4559999999999995, {27: [-54.929067568937754, -25.070932431062246], 28: [-60.23728544812511, -19.762714551874893], 29: [-55.014771074218174, -24.985228925781826], 22: [-55.25621213766061, -24.74378786233939]}]"
1140,"[(19.730791589999999, 76.972776730000007), 50.143999999999998, {32: [-60.49648697096109, -15.503513029038913], 25: [-53.88501284180961, -22.114987158190388], 21: [-54.51132328453642, -21.488676715463583], 37: [-60.42191162931471, -15.578088370685293]}]"
1141,"[(19.733221440000001, 76.992800630000005), 16.111999999999998, {32: [-56.77415028087475, -23.22584971912525], 25: [-47.051444876263716, -32.948555123736284], 34: [-58.79848262269442, -21.201517377305578], 21: [-38.173624364742196, -41.826375635257804], 37: [-59.503081648852714, -20.496918351147286]}]"
1142,"[(19.738536459999999, 77.244620949999998), 25.584, {19: [-51.27581826987603, -27.724181730123973]}]"
1143,"[(19.73908273, 77.219787460000006), 6.2240000000000002, {16: [-59.685620689900475, -20.314379310099525], 17: [-60.02514370168478, -19.974856298315217], 18: [-56.30461079054484, -23.695389209455158], 19: [-54.28574352828207, -25.71425647171793], 20: [-48.58430786338687, -31.41569213661313], 24: [-51.456563604785345, -28.543436395214655]}]"
1144,"[(19.739676379999999, 77.029927850000007), 34.688000000000002, {32: [-55.43193899389473, -23.568061006105268], 34: [-59.66129521666812, -19.338704783331877], 35: [-56.918319696089895, -22.081680303910105], 41: [-60.35060460005427, -18.649395399945732], 23: [-48.34359017688462, -30.656409823115382], 25: [-58.99169996785798, -20.008300032142017], 31: [-56.12238385898917, -22.877616141010833]}]"
1145,"[(19.740891179999998, 77.150554080000006), 21.664000000000001, {17: [-57.7939783222275, -21.206021677772497], 27: [-59.92152662261337, -19.07847337738663], 28: [-49.41182363109911, -29.58817636890089], 29: [-56.41900268945582, -22.580997310544177], 22: [-45.33675269606894, -33.66324730393106]}]"
1146,"[(19.74599663, 77.173457839999998), 80.128, {24: [-56.83127079041708, -17.16872920958292], 17: [-55.081406003803394, -18.918593996196606], 18: [-57.09047296455003, -16.90952703544997], 28: [-51.07956150970412, -22.92043849029588]}]"
1147,"[(19.747714219999999, 77.275448850000004), 28.064, {40: [-59.582280015483576, -19.417719984516424], 26: [-49.18010857851435, -29.81989142148565], 30: [-44.895297631043306, -34.104702368956694]}]"
