VID,NAME,long,lat
0501000100004900,Sindri,78.17612,31.06957
0501000100007600,Naitwar,78.09822,31.06744
0501000100005100,Saur,78.20063,31.0668
0501000400060500,Nalang,79.01399,31.09312
0501000100007700,Gainchwan Gaon,78.10256,31.05675
0501000100008000,Pasha,78.08614,31.03287
0501000100009500,Pokhri,78.10547,31.02979
0501000400060800,Bagori,78.75179,31.0473
0501000100001700,Damti,77.86158,31.00448
0501000100003400,Petri,77.99239,31.0021
0501000100009400,Ludarala,78.11362,31.01638
0501000100003000,Bamsu,77.98121,30.99047
0501000400061200,Jaspur,78.71325,31.02963
0501000400061100,Jhala,78.71689,31.03397
0501000100009200,Kamra,78.10046,31.00536
0501000100008200,Netrasu,78.06336,30.99068
0501000100003100,Odata,77.9914,30.99232
0501000100001900,Manjinu,77.86826,30.9894
0501000100002900,Thali,77.97325,30.98367
0501000100002100,Gamri,77.86721,30.98438
0501000100002000,Bhutanu,77.85536,30.98156
0501000100008400,Bingsari,78.08432,30.97161
0501000100009100,Jiwanu,78.15518,30.97595
0501000200025100,Beef,78.43778,30.97797
0501000100009000,Dewjani,78.1399,30.96875
0501000100008500,Dobhal Gaon,78.09083,30.96115
0501000100002600,Bhakwar Gaon,77.91152,30.9604
0501000100008800,Ramal Gaon,78.11124,30.95946
0501000100011400,Kaslaun,78.23388,30.9674
0501000100011500,Lewtari,78.22167,30.95599
0501000200025000,Banas,78.415,30.95867
0501000100008700,Danda Gaon,78.11891,30.95006
0501000100011800,Chhanika,78.24613,30.95137
0501000100012000,Gaul,78.24588,30.94314
0501000100011600,Dingari,78.22116,30.94045
0501000100011900,Paunti,78.23412,30.93746
0501000100010000,Bestiwalli,78.10231,30.93146
0501000100010100,Besti Palli,78.10854,30.92834
0501000100011000,Dokhariyani,78.15526,30.92958
0501000100010900,Dhikal Gaon,78.13635,30.92217
0501000200025300,Nisani,78.42554,30.92945
0501000200024700,Kuthar,78.3704,30.92759
0501000100010500,Nagjhalla,78.12196,30.91732
0501000100007200,Bainol,78.05692,31.04686
0501000100007800,Dewara,78.1089,31.05163
0501000100009700,Suchan Gaon,78.11956,31.05044
0501000100009900,Haltari,78.12886,31.04601
0501000200026900,Bhansari,78.27807,30.83818
0501000100017700,Naladi,78.13324,30.83281
0501000200022100,Gona,78.21191,30.83313
0501000400065300,Gajoli,78.44806,30.84218
0501000200030200,Pisaun,78.12147,30.77294
0501000200030100,Naini,78.13627,30.77127
0501000200030000,Bingsi,78.15076,30.77006
0501000100018200,Chhamrotta,78.09789,30.76306
0501000200025500,Dangurgaon,78.40293,30.9246
0501000200025600,Pindki,78.41705,30.92416
0501000200024800,Rana,78.38653,30.92351
0501000100010600,Pora,78.10788,30.9119
0501000100012700,Suranukiseri,78.08607,30.90673
0501000100010800,Moltari Rajputonki,78.11803,30.90897
0501000200022900,Basrali,78.23155,30.8912
0501000400061400,Bhangeli,78.68083,30.921
0501000400060400,Jadung,79.04056,31.15969
0501000100000800,Adasu,77.91472,31.08149
,Forest,78.96552,31.02436
,Forest,78.39771,31.14238
,Forest,78.09592,31.09622
,Forest,77.90703,31.06754
,Forest,77.96707,31.03082
,Forest,78.24549,31.01412
,Forest,78.06712,30.87553
,GANGOTRI,78.93819,30.99488
,Forest,78.48756,30.79738
0501000100014900,Pusali,78.12221,30.90266
0501000100013100,Khar Kasim,78.10999,30.89917
0501000100015100,Mahargaon,78.12929,30.89837
0501000200018600,Ghund,78.1743,30.89876
0501000200025800,Kunsala,78.36059,30.90412
0501000100012600,Devralago Sunali,78.08779,30.88838
0501000100013200,Kumarkot,78.10138,30.89361
0501000100000700,Balawat,77.92379,31.09407
0501000100004600,Pujeli,78.09028,31.09825
0501000100005600,Sunkundi,78.22082,31.10497
0501000100000500,Thapali,77.90439,31.0864
0501000100006600,Dhatmeer,78.30959,31.09775
0501000100007400,Kalap,78.11604,31.08638
0501000100000200,Duchanu,77.86473,31.06051
0501000100001000,Barnali,77.89603,31.06809
0501000100001200,Jhotari,77.91492,31.06407
0501000100005200,Sirga,78.21973,31.07713
0501000100004800,Kotgaon,78.15995,31.06742
0501000100001300,Dagoli,77.89003,31.05742
0501000100009800,Danman Gaon,78.13193,31.05913
0501000100007100,Salra,78.02375,31.051
0501000100007000,Motar,78.02194,31.01422
0501000400060600,Mukhawa,78.79094,31.0505
0501000100003200,Saransh,77.97209,31.01598
0501000100008100,Nanai,78.0575,31.01183
0501000100009300,Kunara,78.10223,31.01403
0501000400061000,Purali,78.71433,31.0399
0501000400060700,Dharali,78.78071,31.04299
0501000100001800,Kallch,77.90001,31.00701
0501000100002700,Dewati,77.94493,30.9803
0501000100002200,Kiroliu,77.87884,30.98342
0501000100008900,Khermi,78.11102,30.97056
0501000200025200,Kharsali,78.43608,30.96036
0501000100015500,Rateri,78.04662,30.88514
0501000200025900,Trikhali,78.34149,30.90284
0501000100012500,Ghundada,78.09299,30.89045
0501000200026000,Kupra,78.33907,30.8956
0501000100014700,Lamkoti,78.11737,30.88719
0501000200018700,Kotala,78.17511,30.89012
0501000100015400,Dhakara,78.03475,30.87606
0501000100015600,Mariyana,78.06066,30.87751
0501000200018800,Byali,78.19406,30.88454
0501000100012100,Kurara,78.07232,30.87638
0501000200023100,Patagani,78.22564,30.88651
0501000200019000,Nathergaon,78.16906,30.88109
0501000100015900,Karara,78.05606,30.86812
0501000100015700,Dhukhara,78.04291,30.86784
0501000100014600,Thakrari,78.137,30.87282
0501000200019100,Kur,78.16782,30.87399
0501000200019600,Arun,78.20911,30.87186
0501000200023300,Gangtari,78.22825,30.87396
0501000200019200,Gaul Banal,78.1922,30.87182
0501000100014400,Korana,78.11483,30.8661
0501000200019400,Gair,78.19633,30.86731
0501000200023400,Phari,78.23459,30.86681
0501000100014500,Naurie,78.13425,30.86268
0501000200023500,Khand,78.24594,30.87244
0501000200019700,Ghandala,78.21999,30.86614
0501000100014300,Kumola,78.11404,30.85707
0501000200019900,Koti Banal,78.20745,30.86458
0501000100016600,Chandali,78.09165,30.84984
0501000200023600,Masalgaon,78.25101,30.86227
0501000100016200,Khalari,78.07297,30.84692
0501000200019500,Bakhreti,78.19805,30.86208
0501000200019800,Thanki,78.22334,30.86197
0501000200023700,Sukan,78.26719,30.86146
0501000200026500,Halna,78.31713,30.85699
0501000200020000,Bishatgaon,78.20695,30.86094
0501000200020100,Chhatri,78.23219,30.8541
0501000100016400,Netri,78.08231,30.84443
0501000200020300,Gulari,78.207,30.85431
0501000200024300,Nagangaon,78.25702,30.84933
0501000200020200,Bhani,78.2154,30.85364
0501000200020900,Karnali,78.17538,30.85225
0501000200021200,Gadoli,78.19546,30.85484
0501000200024100,Syalab,78.26455,30.85529
0501000400065200,Naugaon,78.44898,30.85956
0501000400064700,Bhukki,78.66716,30.8654
0501000200026600,Khanera,78.3072,30.84988
0501000200024000,Fooldhar,78.27941,30.85201
0501000400065700,Agoda,78.49499,30.85292
0501000200021300,Sina,78.20248,30.84771
0501000400061700,Kunjan,78.63946,30.85766
0501000200021600,Sirak,78.21607,30.84652
0501000200024200,Gaul Thakral,78.26777,30.84912
0501000400065600,Dandalka,78.48462,30.85157
0501000200024500,Masu,78.24827,30.84419
0501000400065500,Dansra,78.47779,30.85631
0501000100016800,Saundari,78.09983,30.83536
0501000100016500,Pujeli(khalari),78.08096,30.83613
0501000100017900,Kantari,78.14103,30.84181
0501000200021500,Irak,78.20848,30.84354
0501000200026700,Syalna,78.30606,30.84018
0501000200021400,Kuni,78.197,30.843
0501000400065400,Bhancoli,78.47178,30.84862
0501000100016700,Sweel,78.08911,30.83391
0501000200021700,Dharali,78.23236,30.84336
0501000100017500,Hudoli,78.11398,30.82949
0501000100017400,Gaind,78.10434,30.82837
0501000200024600,Palar,78.24851,30.83219
0501000100017300,Bingadhera Palla,78.11188,30.82176
0501000200027700,Molda,78.18075,30.82226
0501000100016900,Thadung,78.09623,30.82019
0501000200027100,Chhatanga,78.23486,30.81273
0501000200027800,Paunti,78.18854,30.81125
0501000400062000,Kyark,78.62551,30.82498
0501000200028600,Paletha,78.15209,30.8061
0501000200028500,Balari,78.17129,30.80634
0501000400062100,Raithal,78.61515,30.81944
0501000200027500,Chakragaon,78.2174,30.79926
0501000200028800,Kotiyal Gaon,78.14165,30.80042
0501000200027200,Dandalgaon,78.24264,30.80048
0501000200028900,Kansola,78.12349,30.79925
,Forest,78.13167,30.8436
,BARKOT,78.2112,30.8069
0501000300039200,Uprikut,78.38983,30.81026
0501000200027600,Uprari,78.20063,30.79864
0501000200028700,Bagasu,78.16832,30.80046
0501000200027300,Barkut,78.22266,30.80579
0501000400062300,Bhatwari,78.62086,30.80272
0501000200027900,Kanseru,78.19135,30.79388
0501000100017000,Sangkhal,78.03869,30.79023
0501000300039300,Bharangaon,78.38929,30.805
0501000200028200,Tunalka,78.16062,30.79315
0501000200029100,Sunara,78.14012,30.79281
0501000200028000,Kishana,78.17834,30.79016
0501000200029000,Manjyali,78.12758,30.79253
0501000300039400,Khurkot,78.38815,30.79742
0501000400062400,Natin,78.60292,30.80463
0501000200029200,Mungra,78.14907,30.79069
0501000100017100,Kamra,78.05007,30.78165
0501000100018300,Thali,78.11206,30.77933
0501000400066700,Nesmor,78.40444,30.79439
0501000200028300,Bhatiya,78.17729,30.78061
0501000400062600,Pahi,78.59621,30.79876
0501000200029400,Sapeta,78.15555,30.78131
0501000400066000,Uttron,78.44674,30.78822
0501000200030400,Rastari,78.12447,30.76365
0501000400064500,Bhela Tipri,78.62143,30.78206
0501000400062800,Lata,78.60875,30.77809
0501000400066100,Nalda Urph Bodhhar,78.46413,30.77126
0501000200030300,Kimi,78.13074,30.76756
0501000300039600,Panjyala,78.37563,30.77528
0501000400063100,Jokani,78.59947,30.77922
0501000200030500,Billa,78.11241,30.76062
0501000100018000,Bhankoli,78.082,30.74969
0501000300039700,Jugaldi,78.37224,30.76467
0501000200030700,Jarara,78.1026,30.75239
0501000400062900,Kumalti,78.59803,30.77001
0501000400064900,Silla,78.64001,30.77056
0501000400063300,Jakhol,78.57635,30.77023
0501000300037500,Singoth,78.32773,30.76199
0501000400063200,Sanj,78.58693,30.766
0501000200030800,Biruntha,78.11678,30.7506
0501000400065000,Pilang,78.66761,30.76839
0501000300040000,Kharwan,78.3932,30.75476
0501000400064400,Saura,78.59965,30.76277
0501000400066900,Sald Urph Maja Gaon,78.41955,30.76199
0501000400066800,Gamded Goan,78.40319,30.75958
0501000300037700,Pab,78.34241,30.75507
0501000400066200,Gawana,78.4703,30.76082
0501000400067200,Sangrali,78.43666,30.745
0501000400064200,Salu,78.59496,30.74592
0501000300045200,Mandyasari,78.31407,30.69717
0501000300045400,Bareth,78.28391,30.69392
0501000400069500,Sara,78.47531,30.70029
0501000400069400,Manpur,78.48473,30.69698
0501000100012800,Devralaga Kharkyasege,78.08866,30.90296
0501000100015000,Kandiyal Gaon,78.1316,30.90776
0501000200020700,Kanda,78.15988,30.86152
0501000200019300,Shishala,78.1727,30.86718
0501000300051600,Singan Gaon,78.17468,30.65176
0501000300041800,Kotimai Bhat Gaon,78.40361,30.65865
0501000300051800,Bagi,78.25775,30.66071
0501000200034500,Dargi,78.09817,30.65526
0501000300044000,Gewneti,78.28085,30.75341
0501000300037600,Bhatusera,78.32877,30.75506
0501000200031700,Chhuri,78.09602,30.7418
0501000400066500,Netala,78.489,30.75107
0501000300043900,Wan,78.26219,30.7445
0501000300039800,Genwala,78.37127,30.75145
0501000400067000,Gyanja,78.41982,30.75593
0501000400066400,Siror,78.47979,30.74649
0501000200030900,Tinya,78.12147,30.74361
0501000200031200,Kafanaul,78.18047,30.74462
0501000300037900,Chinakholi,78.35735,30.74964
0501000300038400,Manglisera,78.31488,30.74793
0501000200031100,Himrola,78.15726,30.74357
0501000400065100,Jodaw,78.66792,30.75248
0501000400064300,Sari,78.60396,30.75714
0501000200031000,Kalogi,78.14013,30.74366
0501000400063400,Ongee,78.5512,30.75352
0501000300038300,Saundhgaon,78.33362,30.74991
0501000400063500,Kanath,78.53824,30.75242
0501000200031600,Manar Gaon,78.1158,30.73911
0501000400063700,Didsari,78.55853,30.74716
0501000300038200,Sangonsra,78.33487,30.74633
0501000300043800,Manj Gaon,78.2536,30.73352
0501000200031800,Tera,78.0944,30.73332
0501000400066600,Hinna,78.51095,30.74394
0501000200031300,Tholiyunka,78.1793,30.73754
0501000200032000,Bajlari,78.11509,30.7355
0501000200032400,Paluka,78.15805,30.7354
0501000300040100,Barethi,78.40109,30.74084
0501000400066300,Pata,78.44854,30.74722
0501000300039100,Dunda,78.34149,30.71115
0501000300040200,Ranari,78.35722,30.71159
0501000400067800,Dang,78.4246,30.71699
0501000300044800,Khurmola,78.28772,30.70872
0501000300041200,Singuni,78.34873,30.66685
0501000200035100,Naugaun,78.14662,30.66361
0501000200025700,Bajari,78.34374,30.90972
0501000100013000,Bhadrali,78.10454,30.90084
0501000200022300,Kundinda,78.19871,30.83043
0501000400064600,Salang,78.63767,30.84153
0501000300039900,Matali,78.38602,30.74216
0501000400067100,Basunga,78.41327,30.74337
0501000300038100,Garh,78.34446,30.74174
0501000300038000,Ratorisera,78.36525,30.74329
0501000200031900,Kunwa,78.08891,30.72511
0501000200032100,Pamari,78.11321,30.73153
0501000300044200,Sandh,78.26977,30.73167
0501000300038500,Kunsi,78.32855,30.73864
0501000300038600,Budangaon,78.32414,30.73523
0501000400063600,Maneri,78.53915,30.74467
0501000200032500,Darsaun,78.17705,30.72994
0501000400068500,Mando,78.45954,30.73769
0501000400067400,Athali,78.35835,30.73634
0501000200032300,Semalsari,78.15556,30.72795
0501000200032700,Kuphan,78.11663,30.7219
0501000200032600,Gair,78.19519,30.7245
0501000400063900,Jamak,78.53215,30.73704
0501000400067900,Joshiyara,78.43919,30.73372
0501000400063800,Bayana,78.56382,30.73707
0501000400067500,Dilsaur,78.39524,30.73175
0501000400064100,Syawa,78.5848,30.73299
0501000400068300,Tiloth,78.44831,30.72779
0501000300044300,Chhamroli,78.26868,30.72397
0501000200033000,Barnigad Khatal,78.09787,30.71001
0501000400067600,Pokhari,78.41962,30.72249
0501000400068600,Silyan,78.45885,30.72692
0501000300039000,Beerpur,78.35146,30.72198
0501000300044500,Nag Gaon,78.27748,30.71668
0501000300044700,Dang,78.3083,30.71367
0501000400068100,Kotiyal Gaon,78.43138,30.7169
0501000200033300,Phipiyara,78.08338,30.70033
0501000200033100,Garh,78.12301,30.7014
0501000200033900,Sarnachak,78.15042,30.7008
0501000400068800,Mastari,78.46615,30.71304
0501000400068200,Bonga,78.4457,30.71076
0501000400069200,Kuroli,78.48062,30.71358
0501000300045000,Walya,78.31485,30.7061
0501000200033200,Bijori,78.10153,30.69805
0501000300044900,Jaspur,78.29976,30.70462
0501000300040300,Majaf,78.37072,30.70491
0501000400069100,Bongari,78.48012,30.71007
0501000400064000,Kamar,78.54033,30.70681
0501000400068900,Sarag,78.46264,30.70603
0501000300040600,Astal,78.35844,30.69887
0501000400069000,Thalan,78.46964,30.70439
0501000200033400,Singuni,78.08298,30.69029
0501000200034100,Chopara,78.15383,30.6919
0501000400069300,Kankrari,78.48181,30.7059
0501000300045100,Genwala,78.30369,30.70035
0501000300050000,Badli,78.21368,30.69177
0501000200033700,Nyuri,78.13125,30.69001
0501000300040400,Dandagaon,78.37874,30.69898
0501000300045300,Kumrara,78.30056,30.69566
0501000400069700,Dovah,78.45963,30.69142
0501000200034200,Phuwan Gaon,78.08924,30.67796
0501000300050200,Chhaijyula,78.23172,30.6842
0501000300045500,Jemer,78.28934,30.68741
0501000300050300,Pujyar Gaon,78.21219,30.68085
0501000400069900,Kishanpur,78.49932,30.69142
0501000300045700,Bhadrali,78.31047,30.6872
0501000200034900,Khirmu,78.12047,30.67759
0501000300045800,Panoth,78.30203,30.6796
0501000300045900,Malnola,78.28418,30.67573
0501000300050400,Kaprara,78.19823,30.67403
0501000300050800,Banota Walla,78.24895,30.67692
0501000300046000,Painthar,78.31138,30.67834
0501000200034300,Gatu,78.08381,30.66519
0501000300050700,Tandola,78.22776,30.675
0501000200034700,Rewalgaon,78.1098,30.6673
0501000300040800,Darmali,78.37771,30.6795
0501000200035000,Kalojgaon,78.13752,30.66896
0501000300050500,Kamda,78.21392,30.6679
0501000300051100,Jibya,78.22872,30.66207
0501000300050900,Mathali,78.25794,30.66931
0501000300046200,Jugiara,78.28466,30.66679
0501000300046600,Hareti,78.30221,30.66238
0501000300046700,Bandu,78.31316,30.66772
0501000300041100,Dhungi,78.36322,30.66679
0501000300042000,Dungal Gaon,78.42394,30.67076
0501000300041600,Diwali,78.3863,30.66666
0501000100002500,Kukerera,77.89431,30.95618
0501000100002400,Begal,77.87794,30.95132
0501000100011200,Sar Gaon,78.21894,30.96252
0501000100008600,Kharsari,78.09057,30.9508
0501000100011700,Kimdara,78.23237,30.94749
0501000200024900,Durbil,78.40312,30.94139
0501000100011100,Syaluka,78.16784,30.9366
0501000100010300,Raun,78.13212,30.93345
0501000100010200,Rama,78.11239,30.92342
0501000100010400,Gundiyar Gaon,78.12442,30.92355
0501000200022600,Sarnaul,78.22148,30.91992
0501000200025400,Bariya,78.40847,30.9329
,Forest,78.37112,30.90938
,Forest,78.0455,30.96156
0501000200022800,Bachangaon,78.24297,30.90121
0501000100013500,Koti,78.11102,30.89008
0501000100014800,Mathmalla,78.11433,30.8946
0501000100013300,Moltari,78.10238,30.89067
0501000100013400,Dhampur,78.10235,30.88673
0501000200026300,Pujargaon,78.30405,30.88552
0501000100015200,Dokhari,78.14101,30.88532
0501000100015300,Kufara,78.02347,30.87758
0501000100012300,Agora,78.09271,30.87993
0501000100012400,Shreekot,78.08909,30.8853
0501000400064800,Hurri,78.68812,30.9011
0501000100012200,Chhara,78.08227,30.87795
0501000200023200,Koti Manpa,78.23096,30.88173
0501000100013600,Dewdhung,78.10104,30.87798
0501000100013700,Chhibala,78.10339,30.87448
0501000400061500,Sungar,78.67883,30.89566
0501000200026400,Kuthnaur,78.30807,30.86905
0501000200018900,Nald,78.19114,30.87831
0501000100013900,Purola,78.07929,30.86797
0501000100013800,Khablisera,78.09437,30.87163
0501000100014100,Molkat,78.10801,30.86982
0501000100016000,Danmana,78.0649,30.8638
0501000300043500,Kali Gaon,78.39302,30.63711
0501000300053700,Shrikot,78.2963,30.63168
0501000300047900,Thandi,78.55952,30.63466
0501000300053200,Jestwari,78.2518,30.62706
0501000300043600,Paturi,78.39897,30.62973
0501000200036800,Khanati,78.02558,30.6181
0501000300057300,Katkhan,78.37463,30.58664
0501000300055800,Chinyali,78.32498,30.57167
,Forest,78.0658,30.60402
,Forest,78.40867,30.55694
0501000100015800,Shikaru,78.03619,30.85297
0501000200020500,Delda,78.18351,30.86087
0501000200022000,Kwal Gaon,78.22224,30.83874
0501000200021800,Rajgarhi,78.24531,30.83717
0501000200024400,Than,78.25888,30.83837
0501000200022200,Chheti,78.20445,30.8374
0501000400061800,Barsu,78.61211,30.84836
0501000100017600,Pani Gaon,78.12428,30.82973
0501000200021900,Dakhyatgaon,78.23436,30.82809
0501000400061900,Pala Maradi,78.62544,30.84202
0501000400065900,Seku,78.46145,30.83607
0501000100017800,Binai,78.14247,30.82601
0501000400067300,Bagyal Gaon,78.44517,30.74182
0501000200032200,Khabala,78.12879,30.72793
0501000400068700,Nirakot,78.47047,30.73165
0501000200032800,Barnigad,78.15181,30.71522
0501000300055700,Kot,78.30486,30.56869
0501000300057500,Badsi,78.35564,30.5802
0501000300057600,Gailari,78.33945,30.57212
0501000300057700,Bharkot,78.35865,30.57207
0501000200022400,Danda Gaon,78.21516,30.82622
0501000200027000,Nandgaon,78.25704,30.81775
0501000200028400,Kanshi,78.16636,30.81467
0501000200022500,Sunaldi,78.2128,30.81899
0501000100017200,Bingadhera Wall,78.10067,30.81409
,Forest,78.16282,30.84168
0501000200035300,Odgaon,78.12443,30.65828
0501000200035800,Mulagaon,78.15739,30.65528
0501000200035900,Rikhaun,78.05998,30.65297
0501000200035200,Matari,78.13779,30.66087
0501000400062200,Bandrani,78.61995,30.81247
0501000200027400,Sara,78.21555,30.80398
0501000200029500,Naugaon,78.13644,30.78584
0501000200029300,Murari,78.15554,30.78696
0501000400062500,Dhwari,78.6087,30.79692
0501000200029600,Mathiyali,78.1346,30.78079
0501000300039500,Kanwa,78.38933,30.78933
0501000200029700,Sauli,78.12347,30.77722
0501000200029800,Dhari Walli,78.13776,30.77585
0501000400062700,Malla,78.61295,30.78957
0501000200029900,Kwari,78.15464,30.77525
0501000400063000,Gorshali,78.60027,30.78656
0501000300037800,Baun,78.35477,30.75828
0501000200030600,Kandaun,78.12965,30.75505
0501000200031400,Dhari Palli,78.14591,30.73941
0501000200031500,Naryunka,78.13672,30.7338
0501000300038900,Singoti,78.351,30.72791
0501000300044600,Sartali,78.297,30.72263
0501000400068400,Jaspur,78.45509,30.73156
0501000400067700,Kansan,78.42536,30.73006
0501000400068000,Ladari,78.43983,30.72356
0501000200032900,Nisani,78.11805,30.71005
0501000200033600,Dewal,78.11786,30.69489
0501000200033800,Kaslana,78.13782,30.69548
0501000300050100,Kawata,78.23251,30.69527
0501000200033500,Bhaunti,78.09917,30.69088
0501000300049900,Ban Gaon,78.1914,30.68298
0501000300045600,Mason,78.30981,30.69207
0501000400069800,Aleth,78.48708,30.68655
0501000200034800,Jandunu,78.1129,30.6735
0501000300046100,Jineth,78.31088,30.67349
0501000300050600,Banotapalla,78.22774,30.66926
0501000300051000,Kyari,78.24599,30.66563
0501000300041000,Gawana,78.3809,30.67109
0501000300040900,Pujyar Gaon,78.36987,30.67288
0501000200034400,Godin,78.07629,30.65696
0501000300046800,Soman,78.32745,30.66913
0501000200034600,Burshi,78.11061,30.65914
0501000300042200,Fold,78.45764,30.66641
0501000300042100,Chakon,78.44352,30.66894
0501000300041400,Gandabada,78.36875,30.66087
0501000300051200,Rikhan Gaon,78.20105,30.65252
0501000200036400,Kakhon,78.04899,30.64644
0501000200036100,Khamundi Talli,78.0988,30.64791
0501000300046900,Loldu,78.32031,30.66196
0501000300051700,Ramoli,78.24491,30.65682
0501000300047800,Kumarkot,78.54884,30.63477
0501000300055900,Mar Gaon,78.33882,30.62995
0501000300053100,Jokhoni,78.23451,30.62368
0501000300053300,Kandi,78.27154,30.62407
0501000300057000,Pujyar Gaon,78.35699,30.58876
0501000300055200,Nagani Chhoti,78.31892,30.58734
0501000300048700,Udri,78.52404,30.58071
0501000300055300,Nagani Bari,78.32237,30.58409
0501000300046300,Resgi,78.28678,30.6613
0501000300041700,Kirungaon,78.39119,30.66178
0501000200035500,Jhimangaon,78.12861,30.65264
0501000300041900,Chinangaon,78.42095,30.66471
0501000200035400,Lodan,78.11579,30.65003
0501000200035600,Jugaraon,78.14257,30.65295
0501000300046500,Junga,78.28953,30.65445
0501000300046400,Tipra,78.27555,30.65695
0501000300054800,Kandla,78.31214,30.60253
0501000300056700,Adni,78.3406,30.60241
0501000300054700,Barathi,78.30459,30.59925
0501000300055000,Bhunyara,78.30042,30.5941
0501000300052400,Odkhola,78.23131,30.65311
0501000300047000,Pujar Gaon,78.31839,30.6565
0501000300051900,Badalda,78.25739,30.65185
0501000200036000,Kandari,78.07768,30.64578
0501000300042600,Baksari,78.42362,30.65875
0501000300052300,Khadara,78.21865,30.64771
0501000300042300,Dikthol,78.43764,30.65682
0501000300041500,Paini Bhanwan,78.37244,30.65561
0501000300051500,Mangan Gaon,78.18098,30.64674
0501000300052200,Tarakot,78.27493,30.64427
0501000300047100,Malna,78.31148,30.65186
0501000300051300,Danda Gaon,78.20556,30.64214
0501000300052500,Tipri,78.23976,30.64215
0501000200036200,Khamundi Malli,78.09676,30.64085
0501000200036300,Badogi,78.06795,30.6399
0501000200036500,Dhuink,78.05416,30.63059
0501000300043000,Dik Urf Bijpur,78.40343,30.65341
0501000300042500,Bhatwari,78.42931,30.6529
0501000300052600,Dharkot,78.2257,30.63621
0501000300043100,Manj Kot,78.3858,30.65164
0501000200036600,Matla,78.04053,30.62802
0501000300047200,Kalyani,78.31031,30.64631
0501000300052000,Dargah,78.25229,30.64128
0501000200036700,Kandi,78.02311,30.63647
0501000300042400,Panchan Gaon,78.4416,30.64675
0501000300042700,Kuleth,78.41982,30.65034
0501000300047300,Jakhari,78.31652,30.64216
0501000300043300,Thati,78.38375,30.64591
0501000300042800,Mosargaon,78.41881,30.64615
0501000300042900,Dharkot,78.40323,30.64709
0501000300053600,Bamnati,78.28989,30.63696
0501000300043200,Ear,78.39456,30.64704
0501000300048000,Jalang,78.57291,30.64865
0501000300047400,Patara,78.32015,30.62975
0501000300052100,Suri,78.26786,30.63363
0501000300043400,Bagyal Gaon,78.37755,30.63762
0501000300053500,Chiloth,78.28493,30.622
0501000300047700,Chaundiyat Gaon,78.52322,30.63063
0501000300053800,Kuthaldi,78.30029,30.62699
0501000300056100,Ulan,78.37868,30.62939
0501000300048100,Kamad,78.57247,30.63118
0501000300043700,Dhungal Dhar,78.41998,30.62897
0501000300053900,Kauda,78.30419,30.62305
0501000300056000,Chamiyari,78.35076,30.62421
0501000200037200,Diyari,78.05986,30.61466
0501000300056600,Jaspur,78.33498,30.61974
