State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,population
ANDHRA PRADESH,28,NIZAMABAD,533,DICHPALLE,5427,AMRUTHAPUR,NZ2068,18.648889,78.171672,AMRUTHAPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DICHPALLE,5427,BARDIPOOR,NZ2038,18.66909,78.09892,BARDIPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DICHPALLE,5427,BARDIPOOR,NZ2037,18.67158,78.10509,BARDIPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DICHPALLE,5427,BARDIPOOR,NZ2008,18.66263,78.11053,BARDIPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DICHPALLE,5427,BARDIPOOR,NZ2009,18.68279,78.11268,BARDIPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DICHPALLE,5427,BARDIPOOR,NZ2015,18.67582,78.10183,BARDIPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DICHPALLE,5427,BARDIPOOR,NZ2088,18.65967,78.11928,BARDIPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DICHPALLE,5427,BARDIPOOR,NZ2092,18.66634,78.10304,BARDIPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DICHPALLE,5427,BARDIPOOR,NZ2090,18.68747,78.11852,BARDIPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DICHPALLE,5427,MENTRAJPALLY,NZ2166,18.6955555556,78.2358333333,MENTRAJPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DOMAKONDA,5428,AMBARIPET,NZ2077,18.327783,78.49945,AMBARIPET,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DOMAKONDA,5428,CHITAMANPALLY,NZ2075,18.32523,78.33775,CHITAMANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,GANDHARI,5429,BURGUL,NZ2021,18.396472,78.115667,BURGUL,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,GANDHARI,5429,BURGUL,NZ2173,18.4178,78.21185,BURGUL,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,GANDHARI,5429,GANDIVET,NZ2207,18.3055,78.0507222222,GANDIVET,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,GANDHARI,5429,GURJAL,NZ2148,18.31855,78.15742,GURJAL,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,JAKRANPALLE,5430,MUNIPALLY,NZ2028,18.739833,78.178611,MUNIPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,JUKKAL,5431,Babulgaon,MD2215,18.23933,77.5968,Babulgaon,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,JUKKAL,5431,BASWAPUR,NZ2013,18.364806,77.603389,BASWAPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,KAMAREDDY,5432,ADLOOR,NZ2174,18.3493,78.27447,ADLOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,KAMAREDDY,5432,GARGUL,NZ2096,18.408889,78.370833,GARGUL,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,KAMAREDDY,5432,LINGAPUR,NZ2108,18.310275,78.252231,LINGAPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,KAMMARAPALLE,5433,BASHEERABAD,NZ2025,18.836667,78.505139,BASHEERABAD,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,KAMMARAPALLE,5433,HASAKOTHUR,NZ2029,18.825528,78.457778,HASAKOTHUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,KAMMARAPALLE,5433,KONAPOOR,KA2041,18.75292,78.66945,KONAPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,KOTGIRI,5434,DOMALEDGI,NZ2026,18.574194,77.819389,DOMALEDGI,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,KOTGIRI,5434,DOMALEDGI,NZ2043,18.603806,77.775278,DOMALEDGI,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,KOTGIRI,5434,EKLASPUR,NZ2045,18.564167,77.766667,EKLASPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,LINGAMPET,5435,BONAL,NZ2027,18.241111,78.132778,BONAL,9,12,
